transaccion_id,comercio_id,comercio_nombre,fecha,hora,dia_semana,mes,trimestre,cliente_id,segmento_cliente,categoria_producto,n_items,monto_usd,metodo_pago,estado,canal
TXN-COM001-00175,COM001,Tienda La Esquina de Doña Rosa,2025-05-17,13:35,Saturday,May,Q2,CLI268,Nuevo,Granos y harinas,2,4.49,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM003-00006,COM003,Cevichería El Rincón Costeño,2025-04-19,12:51,Saturday,April,Q2,CLI182,Frecuente,Ceviche mixto,2,13.34,Pago a Contacto,Completada,Presencial
TXN-COM001-00525,COM001,Tienda La Esquina de Doña Rosa,2025-07-27,17:50,Sunday,July,Q3,CLI002,Inactivo,Lácteos y huevos,2,5.02,Link de Pago Deuna,Completada,Presencial
TXN-COM002-01311,COM002,Botica Don Jacinto,2025-12-16,10:20,Tuesday,December,Q4,CLI075,Nuevo,Cosméticos básicos,1,16.17,QR Deuna,Completada,WhatsApp/Redes
TXN-COM002-01257,COM002,Botica Don Jacinto,2025-12-10,17:20,Wednesday,December,Q4,CLI087,Nuevo,Antibióticos y receta,4,19.6,Link de Pago Deuna,Completada,Presencial
TXN-COM001-00168,COM001,Tienda La Esquina de Doña Rosa,2025-05-16,18:49,Friday,May,Q2,CLI271,Nuevo,Artículos de limpieza,2,3.3,Link de Pago Deuna,Completada,Presencial
TXN-COM001-01145,COM001,Tienda La Esquina de Doña Rosa,2025-11-24,08:05,Monday,November,Q4,CLI297,Nuevo,Snacks y confites,4,4.25,QR Deuna,Completada,Presencial
TXN-COM001-01371,COM001,Tienda La Esquina de Doña Rosa,2025-12-19,14:23,Friday,December,Q4,CLI029,Ocasional,Snacks y confites,1,4.04,Pago a Contacto,Completada,WhatsApp/Redes
TXN-COM002-00302,COM002,Botica Don Jacinto,2025-06-17,16:58,Tuesday,June,Q2,CLI267,Nuevo,Material de curación,3,14.89,Link de Pago Deuna,Completada,Presencial
TXN-COM001-00669,COM001,Tienda La Esquina de Doña Rosa,2025-08-22,18:50,Friday,August,Q3,CLI020,Ocasional,Snacks y confites,5,5.53,Pago a Contacto,Completada,Presencial
TXN-COM001-00323,COM001,Tienda La Esquina de Doña Rosa,2025-06-18,17:03,Wednesday,June,Q2,CLI262,Inactivo,Snacks y confites,2,4.54,Link de Pago Deuna,Completada,Presencial
TXN-COM001-00562,COM001,Tienda La Esquina de Doña Rosa,2025-08-02,09:46,Saturday,August,Q3,CLI203,Frecuente,Granos y harinas,2,5.4,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM002-00700,COM002,Botica Don Jacinto,2025-08-27,16:35,Wednesday,August,Q3,CLI314,Inactivo,Vitaminas y suplementos,1,6.99,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM003-01512,COM003,Cevichería El Rincón Costeño,2026-01-03,12:24,Saturday,January,Q1,CLI267,Nuevo,Mariscos al vapor,3,10.57,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM001-01745,COM001,Tienda La Esquina de Doña Rosa,2026-02-18,13:33,Wednesday,February,Q1,CLI034,Inactivo,Bebidas,3,3.04,QR Deuna,Completada,Presencial
TXN-COM002-01762,COM002,Botica Don Jacinto,2026-02-27,19:29,Friday,February,Q1,CLI201,Ocasional,Cosméticos básicos,1,17.28,Pago a Contacto,Completada,Presencial
TXN-COM003-00436,COM003,Cevichería El Rincón Costeño,2025-07-11,14:04,Friday,July,Q3,CLI185,Ocasional,Almuerzo del día,2,5.96,QR Deuna,Completada,Presencial
TXN-COM003-00482,COM003,Cevichería El Rincón Costeño,2025-07-24,12:20,Thursday,July,Q3,CLI201,Ocasional,Almuerzo del día,5,6.02,QR Deuna,Completada,Presencial
TXN-COM003-01155,COM003,Cevichería El Rincón Costeño,2025-11-20,13:55,Thursday,November,Q4,CLI286,Frecuente,Bebidas y jugos,4,9.25,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM001-00438,COM001,Tienda La Esquina de Doña Rosa,2025-07-12,18:01,Saturday,July,Q3,CLI322,Nuevo,Víveres básicos,5,3.28,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM003-01464,COM003,Cevichería El Rincón Costeño,2025-12-27,14:18,Saturday,December,Q4,CLI021,Ocasional,Ceviche de camarón,1,8.04,QR Deuna,Completada,Presencial
TXN-COM002-00332,COM002,Botica Don Jacinto,2025-06-23,14:43,Monday,June,Q2,CLI119,Inactivo,Higiene personal,2,12.97,QR Deuna,Completada,Presencial
TXN-COM003-00410,COM003,Cevichería El Rincón Costeño,2025-07-07,12:54,Monday,July,Q3,CLI326,Nuevo,Almuerzo del día,3,10.04,QR Deuna,Completada,Presencial
TXN-COM001-01042,COM001,Tienda La Esquina de Doña Rosa,2025-11-02,09:51,Sunday,November,Q4,CLI332,Nuevo,Snacks y confites,4,4.04,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM001-00411,COM001,Tienda La Esquina de Doña Rosa,2025-07-07,19:10,Monday,July,Q3,CLI082,Ocasional,Bebidas,4,4.44,QR Deuna,Anulada,Presencial
TXN-COM001-01311,COM001,Tienda La Esquina de Doña Rosa,2025-12-14,19:50,Sunday,December,Q4,CLI016,Frecuente,Snacks y confites,3,4.68,Link de Pago Deuna,Completada,Presencial
TXN-COM003-00188,COM003,Cevichería El Rincón Costeño,2025-05-24,12:45,Saturday,May,Q2,CLI322,Nuevo,Mariscos al vapor,5,6.45,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM002-00803,COM002,Botica Don Jacinto,2025-09-16,18:45,Tuesday,September,Q3,CLI348,Frecuente,Antibióticos y receta,5,8.86,QR Deuna,Completada,Presencial
TXN-COM002-01300,COM002,Botica Don Jacinto,2025-12-15,11:49,Monday,December,Q4,CLI317,Ocasional,Cosméticos básicos,5,10.79,QR Deuna,Completada,Presencial
TXN-COM002-01896,COM002,Botica Don Jacinto,2026-03-29,12:43,Sunday,March,Q1,CLI246,Inactivo,Antibióticos y receta,3,10.7,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM001-00795,COM001,Tienda La Esquina de Doña Rosa,2025-09-15,14:20,Monday,September,Q3,CLI041,Frecuente,Bebidas,4,7.87,QR Deuna,Completada,Presencial
TXN-COM001-00210,COM001,Tienda La Esquina de Doña Rosa,2025-05-24,07:20,Saturday,May,Q2,CLI273,Inactivo,Bebidas,3,2.34,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM003-00529,COM003,Cevichería El Rincón Costeño,2025-08-02,14:20,Saturday,August,Q3,CLI186,Nuevo,Mariscos al vapor,2,10.26,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM001-01955,COM001,Tienda La Esquina de Doña Rosa,2026-04-09,15:25,Thursday,April,Q2,CLI221,Nuevo,Bebidas,3,5.43,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM001-00101,COM001,Tienda La Esquina de Doña Rosa,2025-05-06,15:06,Tuesday,May,Q2,CLI299,Ocasional,Snacks y confites,2,4.97,QR Deuna,Completada,Presencial
TXN-COM002-01013,COM002,Botica Don Jacinto,2025-10-29,19:32,Wednesday,October,Q4,CLI221,Nuevo,Antibióticos y receta,3,7.08,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM002-00089,COM002,Botica Don Jacinto,2025-05-06,15:55,Tuesday,May,Q2,CLI052,Nuevo,Medicamentos OTC,4,10.47,QR Deuna,Completada,WhatsApp/Redes
TXN-COM003-00950,COM003,Cevichería El Rincón Costeño,2025-10-15,14:02,Wednesday,October,Q4,CLI207,Frecuente,Bebidas y jugos,3,10.66,Link de Pago Deuna,Pendiente,WhatsApp/Redes
TXN-COM002-00212,COM002,Botica Don Jacinto,2025-05-31,14:00,Saturday,May,Q2,CLI202,Frecuente,Vitaminas y suplementos,1,11.06,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM002-00282,COM002,Botica Don Jacinto,2025-06-13,14:22,Friday,June,Q2,CLI025,Ocasional,Cosméticos básicos,1,10.64,QR Deuna,Anulada,Presencial
TXN-COM003-01462,COM003,Cevichería El Rincón Costeño,2025-12-27,12:47,Saturday,December,Q4,CLI306,Inactivo,Mariscos al vapor,1,9.37,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM002-00185,COM002,Botica Don Jacinto,2025-05-24,17:35,Saturday,May,Q2,CLI174,Frecuente,Vitaminas y suplementos,3,17.59,Pago a Contacto,Completada,WhatsApp/Redes
TXN-COM001-00849,COM001,Tienda La Esquina de Doña Rosa,2025-09-23,14:19,Tuesday,September,Q3,CLI033,Frecuente,Granos y harinas,5,1.76,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM001-00909,COM001,Tienda La Esquina de Doña Rosa,2025-10-04,15:48,Saturday,October,Q4,CLI221,Nuevo,Lácteos y huevos,4,3.84,QR Deuna,Completada,Presencial
TXN-COM003-01520,COM003,Cevichería El Rincón Costeño,2026-01-05,13:32,Monday,January,Q1,CLI031,Ocasional,Arroz con menestra,2,11.76,Link de Pago Deuna,Pendiente,WhatsApp/Redes
TXN-COM002-01008,COM002,Botica Don Jacinto,2025-10-29,08:56,Wednesday,October,Q4,CLI339,Ocasional,Medicamentos OTC,2,18.44,Link de Pago Deuna,Completada,Presencial
TXN-COM003-01128,COM003,Cevichería El Rincón Costeño,2025-11-16,12:36,Sunday,November,Q4,CLI105,Inactivo,Arroz con menestra,2,12.91,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM001-00625,COM001,Tienda La Esquina de Doña Rosa,2025-08-13,09:44,Wednesday,August,Q3,CLI225,Ocasional,Artículos de limpieza,4,4.69,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM002-01800,COM002,Botica Don Jacinto,2026-03-06,08:29,Friday,March,Q1,CLI326,Nuevo,Antibióticos y receta,2,14.44,QR Deuna,Completada,Presencial
TXN-COM001-00184,COM001,Tienda La Esquina de Doña Rosa,2025-05-19,16:09,Monday,May,Q2,CLI048,Ocasional,Lácteos y huevos,1,3.53,Pago a Contacto,Anulada,Presencial
TXN-COM002-01481,COM002,Botica Don Jacinto,2026-01-04,15:52,Sunday,January,Q1,CLI058,Frecuente,Medicamentos OTC,1,13.74,QR Deuna,Completada,Presencial
TXN-COM001-01713,COM001,Tienda La Esquina de Doña Rosa,2026-02-11,19:34,Wednesday,February,Q1,CLI218,Nuevo,Bebidas,3,3.41,QR Deuna,Completada,Presencial
TXN-COM003-00164,COM003,Cevichería El Rincón Costeño,2025-05-19,13:43,Monday,May,Q2,CLI005,Frecuente,Arroz con menestra,1,9.3,QR Deuna,Completada,Presencial
TXN-COM002-01886,COM002,Botica Don Jacinto,2026-03-27,15:58,Friday,March,Q1,CLI301,Frecuente,Material de curación,1,8.55,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM002-00416,COM002,Botica Don Jacinto,2025-07-09,17:50,Wednesday,July,Q3,CLI254,Ocasional,Cosméticos básicos,2,5.1,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM003-00434,COM003,Cevichería El Rincón Costeño,2025-07-11,10:39,Friday,July,Q3,CLI196,Ocasional,Bebidas y jugos,1,11.07,QR Deuna,Pendiente,Presencial
TXN-COM002-01022,COM002,Botica Don Jacinto,2025-10-31,18:02,Friday,October,Q4,CLI043,Frecuente,Cosméticos básicos,2,16.55,QR Deuna,Completada,Presencial
TXN-COM003-00307,COM003,Cevichería El Rincón Costeño,2025-06-18,11:45,Wednesday,June,Q2,CLI136,Ocasional,Arroz con menestra,3,5.05,QR Deuna,Completada,Presencial
TXN-COM001-01823,COM001,Tienda La Esquina de Doña Rosa,2026-03-07,09:57,Saturday,March,Q1,CLI104,Ocasional,Lácteos y huevos,4,3.01,Pago a Contacto,Completada,WhatsApp/Redes
TXN-COM001-00702,COM001,Tienda La Esquina de Doña Rosa,2025-08-28,09:07,Thursday,August,Q3,CLI050,Frecuente,Snacks y confites,5,3.0,Link de Pago Deuna,Pendiente,WhatsApp/Redes
TXN-COM003-00652,COM003,Cevichería El Rincón Costeño,2025-08-22,12:07,Friday,August,Q3,CLI123,Ocasional,Almuerzo del día,4,7.43,QR Deuna,Completada,Presencial
TXN-COM001-01432,COM001,Tienda La Esquina de Doña Rosa,2025-12-25,09:41,Thursday,December,Q4,CLI341,Ocasional,Víveres básicos,2,3.9,Pago a Contacto,Completada,Presencial
TXN-COM002-00946,COM002,Botica Don Jacinto,2025-10-14,19:05,Tuesday,October,Q4,CLI266,Nuevo,Material de curación,4,22.83,QR Deuna,Completada,Presencial
TXN-COM001-01620,COM001,Tienda La Esquina de Doña Rosa,2026-01-27,10:59,Tuesday,January,Q1,CLI261,Ocasional,Bebidas,3,4.06,Pago a Contacto,Completada,Presencial
TXN-COM003-00291,COM003,Cevichería El Rincón Costeño,2025-06-15,13:39,Sunday,June,Q2,CLI277,Nuevo,Ceviche mixto,4,6.04,QR Deuna,Completada,Presencial
TXN-COM002-01252,COM002,Botica Don Jacinto,2025-12-10,19:18,Wednesday,December,Q4,CLI072,Frecuente,Higiene personal,1,13.05,Pago a Contacto,Completada,Presencial
TXN-COM001-00771,COM001,Tienda La Esquina de Doña Rosa,2025-09-09,09:44,Tuesday,September,Q3,CLI204,Inactivo,Lácteos y huevos,2,4.06,QR Deuna,Completada,Presencial
TXN-COM003-00541,COM003,Cevichería El Rincón Costeño,2025-08-03,14:34,Sunday,August,Q3,CLI120,Ocasional,Arroz con menestra,3,8.33,QR Deuna,Completada,WhatsApp/Redes
TXN-COM003-01126,COM003,Cevichería El Rincón Costeño,2025-11-16,11:59,Sunday,November,Q4,CLI031,Ocasional,Ceviche mixto,5,6.66,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM001-00116,COM001,Tienda La Esquina de Doña Rosa,2025-05-08,18:00,Thursday,May,Q2,CLI129,Frecuente,Snacks y confites,5,3.27,QR Deuna,Completada,Presencial
TXN-COM001-00969,COM001,Tienda La Esquina de Doña Rosa,2025-10-18,07:09,Saturday,October,Q4,CLI201,Ocasional,Artículos de limpieza,3,2.82,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM002-00808,COM002,Botica Don Jacinto,2025-09-17,18:57,Wednesday,September,Q3,CLI007,Frecuente,Medicamentos OTC,2,10.83,QR Deuna,Completada,Presencial
TXN-COM002-00469,COM002,Botica Don Jacinto,2025-07-18,09:34,Friday,July,Q3,CLI023,Ocasional,Antibióticos y receta,2,10.27,QR Deuna,Completada,Presencial
TXN-COM003-00758,COM003,Cevichería El Rincón Costeño,2025-09-10,13:42,Wednesday,September,Q3,CLI014,Frecuente,Ceviche mixto,4,5.12,Link de Pago Deuna,Anulada,WhatsApp/Redes
TXN-COM003-00817,COM003,Cevichería El Rincón Costeño,2025-09-20,12:32,Saturday,September,Q3,CLI258,Nuevo,Mariscos al vapor,3,9.17,Link de Pago Deuna,Completada,Presencial
TXN-COM002-01651,COM002,Botica Don Jacinto,2026-02-07,19:07,Saturday,February,Q1,CLI145,Ocasional,Vitaminas y suplementos,3,8.31,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM003-00965,COM003,Cevichería El Rincón Costeño,2025-10-17,13:15,Friday,October,Q4,CLI255,Frecuente,Ceviche mixto,1,7.05,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM001-01221,COM001,Tienda La Esquina de Doña Rosa,2025-12-04,07:19,Thursday,December,Q4,CLI180,Frecuente,Snacks y confites,1,1.99,QR Deuna,Completada,Presencial
TXN-COM003-00932,COM003,Cevichería El Rincón Costeño,2025-10-12,10:48,Sunday,October,Q4,CLI155,Inactivo,Bebidas y jugos,1,9.07,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM001-01192,COM001,Tienda La Esquina de Doña Rosa,2025-12-01,18:09,Monday,December,Q4,CLI276,Ocasional,Bebidas,5,6.97,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM002-01556,COM002,Botica Don Jacinto,2026-01-17,11:57,Saturday,January,Q1,CLI258,Nuevo,Vitaminas y suplementos,3,9.09,Pago a Contacto,Completada,Presencial
TXN-COM002-01830,COM002,Botica Don Jacinto,2026-03-12,08:03,Thursday,March,Q1,CLI176,Frecuente,Medicamentos OTC,5,8.78,Pago a Contacto,Completada,Presencial
TXN-COM001-01615,COM001,Tienda La Esquina de Doña Rosa,2026-01-27,12:35,Tuesday,January,Q1,CLI180,Frecuente,Snacks y confites,3,3.55,Link de Pago Deuna,Completada,Presencial
TXN-COM002-00425,COM002,Botica Don Jacinto,2025-07-11,18:36,Friday,July,Q3,CLI181,Ocasional,Cosméticos básicos,3,16.46,Pago a Contacto,Completada,Presencial
TXN-COM002-00871,COM002,Botica Don Jacinto,2025-10-01,12:50,Wednesday,October,Q4,CLI154,Ocasional,Higiene personal,3,7.04,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM003-00228,COM003,Cevichería El Rincón Costeño,2025-06-02,14:04,Monday,June,Q2,CLI276,Ocasional,Almuerzo del día,2,14.35,QR Deuna,Completada,Presencial
TXN-COM002-01996,COM002,Botica Don Jacinto,2026-04-18,08:15,Saturday,April,Q2,CLI276,Ocasional,Higiene personal,3,17.08,QR Deuna,Completada,Presencial
TXN-COM003-00407,COM003,Cevichería El Rincón Costeño,2025-07-06,12:16,Sunday,July,Q3,CLI134,Ocasional,Ceviche mixto,1,7.65,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM003-00042,COM003,Cevichería El Rincón Costeño,2025-04-26,14:06,Saturday,April,Q2,CLI136,Ocasional,Mariscos al vapor,2,9.38,Pago a Contacto,Completada,Presencial
TXN-COM001-01251,COM001,Tienda La Esquina de Doña Rosa,2025-12-07,19:00,Sunday,December,Q4,CLI275,Ocasional,Bebidas,3,4.3,QR Deuna,Completada,Presencial
TXN-COM003-00580,COM003,Cevichería El Rincón Costeño,2025-08-11,14:17,Monday,August,Q3,CLI301,Frecuente,Ceviche mixto,1,5.55,QR Deuna,Completada,Presencial
TXN-COM002-01984,COM002,Botica Don Jacinto,2026-04-14,13:09,Tuesday,April,Q2,CLI150,Ocasional,Vitaminas y suplementos,4,13.43,QR Deuna,Completada,Presencial
TXN-COM002-00543,COM002,Botica Don Jacinto,2025-07-31,08:25,Thursday,July,Q3,CLI097,Ocasional,Cosméticos básicos,3,13.17,Pago a Contacto,Completada,WhatsApp/Redes
TXN-COM001-00107,COM001,Tienda La Esquina de Doña Rosa,2025-05-08,11:37,Thursday,May,Q2,CLI071,Nuevo,Lácteos y huevos,4,3.03,Pago a Contacto,Completada,Presencial
TXN-COM003-01434,COM003,Cevichería El Rincón Costeño,2025-12-25,14:23,Thursday,December,Q4,CLI200,Nuevo,Mariscos al vapor,2,11.78,QR Deuna,Completada,Presencial
TXN-COM003-00044,COM003,Cevichería El Rincón Costeño,2025-04-27,12:46,Sunday,April,Q2,CLI154,Ocasional,Arroz con menestra,3,8.83,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM002-01972,COM002,Botica Don Jacinto,2026-04-12,14:27,Sunday,April,Q2,CLI258,Nuevo,Cosméticos básicos,5,17.5,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM002-01764,COM002,Botica Don Jacinto,2026-02-27,12:15,Friday,February,Q1,CLI055,Ocasional,Higiene personal,1,6.09,QR Deuna,Completada,Presencial
TXN-COM003-01565,COM003,Cevichería El Rincón Costeño,2026-01-14,13:07,Wednesday,January,Q1,CLI087,Nuevo,Ceviche mixto,1,8.85,Link de Pago Deuna,Completada,Presencial
TXN-COM002-01826,COM002,Botica Don Jacinto,2026-03-11,09:27,Wednesday,March,Q1,CLI218,Nuevo,Material de curación,5,9.79,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM001-01957,COM001,Tienda La Esquina de Doña Rosa,2026-04-09,08:16,Thursday,April,Q2,CLI107,Ocasional,Víveres básicos,3,3.11,QR Deuna,Completada,Presencial
TXN-COM001-01546,COM001,Tienda La Esquina de Doña Rosa,2026-01-11,14:19,Sunday,January,Q1,CLI244,Ocasional,Bebidas,5,3.03,Pago a Contacto,Completada,Presencial
TXN-COM002-00692,COM002,Botica Don Jacinto,2025-08-25,18:00,Monday,August,Q3,CLI113,Inactivo,Higiene personal,1,10.75,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM003-01986,COM003,Cevichería El Rincón Costeño,2026-04-17,14:00,Friday,April,Q2,CLI217,Ocasional,Arroz con menestra,4,11.76,QR Deuna,Pendiente,Presencial
TXN-COM003-00391,COM003,Cevichería El Rincón Costeño,2025-07-03,14:27,Thursday,July,Q3,CLI295,Frecuente,Arroz con menestra,5,4.56,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM002-00357,COM002,Botica Don Jacinto,2025-06-27,18:42,Friday,June,Q2,CLI246,Inactivo,Vitaminas y suplementos,2,10.47,QR Deuna,Completada,Presencial
TXN-COM001-00938,COM001,Tienda La Esquina de Doña Rosa,2025-10-11,18:28,Saturday,October,Q4,CLI031,Ocasional,Bebidas,4,7.18,Link de Pago Deuna,Anulada,WhatsApp/Redes
TXN-COM002-00050,COM002,Botica Don Jacinto,2025-04-29,17:44,Tuesday,April,Q2,CLI094,Ocasional,Vitaminas y suplementos,4,3.2,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM002-00959,COM002,Botica Don Jacinto,2025-10-17,19:12,Friday,October,Q4,CLI160,Nuevo,Vitaminas y suplementos,3,10.84,QR Deuna,Completada,Presencial
TXN-COM003-00883,COM003,Cevichería El Rincón Costeño,2025-10-02,12:19,Thursday,October,Q4,CLI292,Frecuente,Ceviche de camarón,3,8.52,QR Deuna,Completada,Presencial
TXN-COM003-00123,COM003,Cevichería El Rincón Costeño,2025-05-12,12:53,Monday,May,Q2,CLI230,Ocasional,Bebidas y jugos,2,8.3,QR Deuna,Completada,Presencial
TXN-COM002-00996,COM002,Botica Don Jacinto,2025-10-27,16:07,Monday,October,Q4,CLI179,Inactivo,Higiene personal,5,10.02,QR Deuna,Completada,Presencial
TXN-COM001-00130,COM001,Tienda La Esquina de Doña Rosa,2025-05-11,10:38,Sunday,May,Q2,CLI104,Ocasional,Granos y harinas,2,7.28,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM002-00022,COM002,Botica Don Jacinto,2025-04-21,14:03,Monday,April,Q2,CLI228,Ocasional,Medicamentos OTC,4,7.16,Pago a Contacto,Completada,Presencial
TXN-COM002-00444,COM002,Botica Don Jacinto,2025-07-13,12:00,Sunday,July,Q3,CLI273,Inactivo,Material de curación,3,15.21,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM003-01634,COM003,Cevichería El Rincón Costeño,2026-01-29,14:26,Thursday,January,Q1,CLI144,Ocasional,Almuerzo del día,1,8.94,QR Deuna,Completada,Presencial
TXN-COM003-00565,COM003,Cevichería El Rincón Costeño,2025-08-08,13:17,Friday,August,Q3,CLI317,Ocasional,Ceviche mixto,2,7.59,Pago a Contacto,Completada,Presencial
TXN-COM002-00664,COM002,Botica Don Jacinto,2025-08-22,10:29,Friday,August,Q3,CLI150,Ocasional,Material de curación,1,14.71,QR Deuna,Anulada,Presencial
TXN-COM001-01694,COM001,Tienda La Esquina de Doña Rosa,2026-02-08,17:39,Sunday,February,Q1,CLI062,Ocasional,Snacks y confites,1,4.96,QR Deuna,Completada,Presencial
TXN-COM002-00690,COM002,Botica Don Jacinto,2025-08-25,15:38,Monday,August,Q3,CLI233,Ocasional,Vitaminas y suplementos,4,16.62,Link de Pago Deuna,Completada,WhatsApp/Redes
TXN-COM001-00402,COM001,Tienda La Esquina de Doña Rosa,2025-07-05,12:34,Saturday,July,Q3,CLI158,Nuevo,Granos y harinas,3,3.38,Link de Pago Deuna,Completada,WhatsApp/Redes
